Timestamp,CPU%,MemoryFree(MB)
2026-03-19 00:05:42,11.8,29
2026-03-19 00:05:43,217.2,18
2026-03-19 00:05:45,261,10
2026-03-19 00:05:46,301,8
2026-03-19 00:05:47,259.3,11
2026-03-19 00:05:48,321.2,10
2026-03-19 00:05:49,236.9,10
